Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
136.0,Code Geass,54,TV Series,8.2,1155.1,8.7,78841.0,24.0,"Animation ,Action ,Drama",2006,2008.0,https://www.imdb.com/title/tt0994314
137.0,Primal,21,TV Series,8.7,1028.1,8.7,19910.0,22.0,"Animation ,Action ,Adventure",2019,2050.0,https://www.imdb.com/title/tt10332508
138.0,It's a Sin,5,TV Mini Series,8.8,1466.8,8.7,36401.0,239.0,"Comedy ,Drama ,History",2021,2021.0,https://www.imdb.com/title/tt9140342
139.0,The Jinx: The Life and Deaths of Robert Durst,12,TV Series,8.5,513.4,8.6,50752.0,279.0,"Documentary ,Biography ,Crime",2015,2024.0,https://www.imdb.com/title/tt4299972
140.0,Adventure Time,287,TV Series,7.9,1648.1,8.6,110369.0,11.0,"Animation ,Action ,Adventure",2010,2018.0,https://www.imdb.com/title/tt1305826
141.0,The Bridge,38,TV Series,8.1,977.1,8.6,75950.0,60.0,"Crime ,Mystery ,Thriller",2011,2018.0,https://www.imdb.com/title/tt1733785
142.0,Daredevil,39,TV Series,8.8,9733.4,8.6,470792.0,54.0,"Action ,Crime ,Drama",2015,2018.0,https://www.imdb.com/title/tt3322312
143.0,Blackadder II,6,TV Series,8.2,1095.2,8.6,49501.0,176.0,Comedy,1986,1986.0,https://www.imdb.com/title/tt0088484
144.0,Lonesome Dove,4,TV Mini Series,8.4,502.0,8.7,25550.0,384.0,"Adventure ,Drama ,Western",1989,1989.0,https://www.imdb.com/title/tt0096639
145.0,Yeh Meri Family,12,TV Series,8.2,276.7,9.0,25299.0,30.0,"Comedy ,Drama ,Family",2018,2023.0,https://www.imdb.com/title/tt8595766
146.0,Mindhunter,19,TV Series,8.4,6217.4,8.6,330337.0,60.0,"Crime ,Drama ,Mystery",2017,2019.0,https://www.imdb.com/title/tt5290382
147.0,The Return of Sherlock Holmes,13,TV Series,8.0,780.5,8.7,13281.0,781.0,"Crime ,Drama ,Mystery",1986,1988.0,https://www.imdb.com/title/tt0090509
